t,n,e,d,vn,ve,vd,phi,theta,psi,p,q,r,phiE,thetaE,psiE,nE,eE,dE,vnE,veE,vdE,T1,T2,T3,T4
0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000024,-0.000010,-0.007739,2.000333,1.999986,-0.000230,0.000455,-0.000573,0.000075,3.454501,3.449090,3.453266,3.449556,
0.010000,2.000000,2.000000,0.000000,0.000000,0.000000,0.070454,0.000000,0.000000,0.000000,0.000060,0.000027,0.000018,-0.000029,-0.000036,-0.007727,2.000339,1.999977,0.000120,0.000675,-0.001044,0.069881,3.504508,3.504694,3.503167,3.504165,
0.020000,2.000000,2.000000,0.000000,0.000000,0.000000,0.118397,0.000001,0.000000,0.000000,0.000137,0.000115,0.000030,-0.000017,-0.000019,-0.007718,2.000348,1.999971,0.001057,0.000787,-0.000783,0.117778,3.542038,3.538740,3.542466,3.538853,
0.030000,2.000000,2.000000,0.000000,-0.000000,0.000000,0.148040,0.000002,0.000001,0.000000,0.000187,0.000166,0.000054,-0.000002,-0.000027,-0.007739,2.000360,1.999946,0.002364,0.000978,-0.001199,0.147169,3.564265,3.562648,3.563968,3.562004,
0.040000,2.000000,2.000000,0.000000,-0.000000,0.000000,0.162863,0.000004,0.000003,0.000001,0.000215,0.000240,0.000080,-0.000006,-0.000047,-0.007734,2.000293,1.999894,0.003698,-0.001408,-0.001989,0.155812,3.571634,3.569446,3.570721,3.569683,
0.050000,2.000000,2.000000,0.000000,-0.000000,0.000001,0.165771,0.000006,0.000005,0.000002,0.000278,0.000324,0.000107,-0.000008,-0.000041,-0.007688,2.000215,2.000098,0.004670,-0.003241,0.003311,0.143930,3.558413,3.564681,3.559814,3.564875,
0.060000,2.000000,2.000000,0.000000,-0.000001,0.000001,0.159216,0.000009,0.000009,0.000003,0.000286,0.000334,0.000107,-0.000021,-0.000039,-0.007697,2.000167,1.999986,0.004873,-0.003543,0.000423,0.112206,3.539723,3.535993,3.540262,3.537036,
0.070000,2.000000,2.000000,0.000000,-0.000002,0.000002,0.145278,0.000012,0.000012,0.000004,0.000310,0.000286,0.000120,0.000018,-0.000010,-0.007646,2.000167,2.000140,0.004864,-0.002768,0.003012,0.078293,3.509941,3.514252,3.513116,3.513952,
0.080000,2.000000,2.000000,0.000000,-0.000003,0.000004,0.125639,0.000015,0.000015,0.000005,0.000206,0.000146,0.000120,0.000021,0.000004,-0.007671,2.000080,2.000143,0.004120,-0.002952,0.002424,0.034399,3.479064,3.478957,3.480730,3.479339,
0.090000,2.000000,2.000000,0.000000,-0.000005,0.000005,0.101705,0.000017,0.000016,0.000006,0.000078,-0.000038,0.000123,0.000054,-0.000033,-0.007643,1.999929,2.000246,0.002704,-0.004961,0.003824,-0.015147,3.437875,3.445492,3.439622,3.443636,
0.100000,2.000000,2.000000,0.000000,-0.000007,0.000007,0.074638,0.000018,0.000016,0.000008,-0.000152,-0.000181,0.000103,0.000020,-0.000016,-0.007603,1.999795,2.000346,0.001750,-0.006481,0.005138,-0.052094,3.410334,3.414744,3.412358,3.416442,
0.110000,2.000000,2.000000,0.000000,-0.000009,0.000010,0.045290,0.000016,0.000014,0.000009,-0.000348,-0.000428,0.000069,0.000004,0.000003,-0.007546,1.999665,2.000402,0.000473,-0.007098,0.005203,-0.090663,3.382192,3.383528,3.384993,3.384909,
0.120000,2.000000,2.000000,0.000000,-0.000011,0.000012,0.014353,0.000013,0.000010,0.000009,-0.000554,-0.000773,0.000040,-0.000008,-0.000003,-0.007477,1.999825,2.000323,-0.000574,-0.003372,0.003562,-0.121599,3.358342,3.361211,3.359681,3.361475,
0.130000,2.000000,2.000000,0.000000,-0.000012,0.000013,-0.017664,0.000007,0.000002,0.000010,-0.000758,-0.001106,0.000007,-0.000009,-0.000026,-0.007519,1.999845,2.000349,-0.001885,-0.002627,0.003920,-0.152744,3.333610,3.338729,3.334455,3.337857,
0.140000,1.999999,2.000001,-0.000177,-0.000013,0.000014,-0.050354,-0.000001,-0.000009,0.000010,-0.000981,-0.001371,-0.000036,0.000005,-0.000060,-0.007480,2.000179,2.000298,-0.002843,0.002772,0.002639,-0.175076,3.317726,3.321296,3.317677,3.319040,
0.150000,1.999999,2.000001,-0.000680,-0.000012,0.000014,-0.083444,-0.000010,-0.000023,0.000009,-0.001238,-0.001501,-0.000081,-0.000034,-0.000055,-0.007504,2.000368,1.999904,-0.003819,0.005061,-0.003852,-0.194573,3.305764,3.302662,3.303665,3.303209,
0.160000,1.999999,2.000001,-0.001515,-0.000009,0.000013,-0.116733,-0.000023,-0.000038,0.000009,-0.001350,-0.001551,-0.000109,-0.000050,-0.000073,-0.007480,2.000092,1.999801,-0.005018,0.000096,-0.004789,-0.214897,3.287519,3.289636,3.284862,3.289909,
0.170000,1.999999,2.000001,-0.002682,-0.000004,0.000010,-0.150055,-0.000036,-0.000053,0.000008,-0.001336,-0.001507,-0.000146,-0.000053,-0.000103,-0.007333,2.000065,2.000087,-0.006757,-0.000375,0.000501,-0.240337,3.265615,3.271396,3.263951,3.271163,
0.180000,1.999999,2.000001,-0.004183,0.000003,0.000005,-0.183244,-0.000050,-0.000068,0.000006,-0.001274,-0.001404,-0.000202,-0.000092,-0.000075,-0.007295,1.999782,1.999872,-0.008411,-0.004171,-0.002203,-0.260514,3.250423,3.252722,3.250203,3.254944,
0.190000,1.999999,2.000001,-0.006015,0.000012,-0.000001,-0.216198,-0.000062,-0.000082,0.000004,-0.001138,-0.001392,-0.000261,-0.000066,-0.000098,-0.007176,1.999758,1.999966,-0.010303,-0.004407,-0.000475,-0.280758,3.232922,3.238722,3.233400,3.238729,
0.200000,1.999999,2.000001,-0.008177,0.000023,-0.000010,-0.248836,-0.000074,-0.000096,0.000001,-0.001046,-0.001400,-0.000330,-0.000061,-0.000136,-0.007202,1.999800,2.000058,-0.012121,-0.003389,0.000880,-0.296622,3.221665,3.224849,3.221409,3.224621,
0.210000,1.999999,2.000001,-0.010665,0.000036,-0.000019,-0.281118,-0.000084,-0.000110,-0.000002,-0.000971,-0.001390,-0.000398,-0.000046,-0.000135,-0.007158,1.999587,2.000356,-0.014898,-0.006059,0.004955,-0.324017,3.194351,3.207387,3.195647,3.207429,
0.220000,2.000000,2.000001,-0.013476,0.000050,-0.000030,-0.312939,-0.000094,-0.000124,-0.000006,-0.000956,-0.001428,-0.000502,-0.000036,-0.000142,-0.007058,1.999569,2.000390,-0.017583,-0.005489,0.004747,-0.345652,3.173293,3.192974,3.175629,3.192639,
